trade_date,source,error,attempted_at
2020-04-24,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-27,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-28,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-29,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-04-30,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-04,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-05,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-06,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-07,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-08,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-11,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-12,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-13,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-14,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-15,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-18,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-19,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-20,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-21,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-22,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-25,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-26,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-27,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-28,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-05-29,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-01,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-02,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-03,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-04,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-05,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-08,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-09,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-10,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-11,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-12,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-15,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-16,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-17,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-18,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-19,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-22,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-23,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-24,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-29,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-06-30,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-01,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-02,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-03,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-06,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-07,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-08,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-09,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-10,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-13,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-14,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-15,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-16,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-17,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-20,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-21,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-22,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-23,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-24,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-27,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-28,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-29,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-30,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-07-31,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-08-03,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-08-04,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-08-05,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-08-06,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
2020-08-07,taifex_foreign_position,TAIFEX public daily institutional query is limited to the previous three years,2026-08-10T14:15:46+00:00
